author,title,type,tag,sub-tag
Abhijit Banerjee; Esther Duflo,Good Economics for Hard Times,non-fiction,economics,general interest
"Abhijit Banerjee, Esther Duflo",Poor Economics,non-fiction,economics,general interest
Adam Moss,The Work of Art,non-fiction,creativity,art
Adam Phillips,Missing Out,non-fiction,psychoanalysis,
Adam Swift,Political Philosophy: A Beginners' Guide for Students and Politicians,non-fiction,philosophy,political philosophy
Adam Tooze,"The Deluge: The Great War, America and the Remaking of the Global Order, 1916-1931",non-fiction,history,american
Adrian Duncan,The Geometer Lobachevsky,fiction,,
"Ajay Agrawal, Joshua Gans, Avi Goldfarb",Prediction Machines: The Simple Economics of Artificial Intelligence,non-fiction,technology,ai
Alain de Botton,Why We Hate Cheap Things,non-fiction,sociology,
Albert Camus,Create Dangerously,non-fiction,creativity,
Alessandro Roncaglia,The Wealth of Ideas: A History of Economic Thought,non-fiction,economics,
Alex Niven,New Model Island: How to Build a Radical Culture Beyond the Idea of England,non-fiction,politics,
Alex S. Vitale,The End of Policing,non-fiction,politics,
Ali Smith,Winter,fiction,,
Ali Smith,How to be Both,fiction,,
Ali Smith,Autumn,fiction,,
Alice Munro,Dear Life,fiction,,
Anastasia Nesvetailova,Sabotage: The Business of Finance,non-fiction,finance,
Andreas Malm,Fossil Capital: The Rise of Steam Power and the Roots of Global Warming,non-fiction,politics,
Andrew Grove,High Output Management,non-fiction,business,management
Andrew Marr,A History of Modern Britain,non-fiction,history,british
Andrew O'Hagan,Mayflies,fiction,,
Angela Y. Davis,"Women, Culture, and Politics",non-fiction,politics,
Angela Y. Davis,Are Prisons Obsolete?,non-fiction,politics,
Anil Seth,Being You,non-fiction,science,cognitive
Anna Burns,Milkman,fiction,,
Anna Vaught,Saving Lucia,fiction,,
Anne Applebaum,Red Famine: Stalin's War on Ukraine,non-fiction,history,20th century
Anne Carson,Autobiography of Red,fiction,,
Annie Jacobsen,Area 51,non-fiction,history,american
Anthony Burgess,A Clockwork Orange,fiction,,
Anthony Everitt,Cicero,non-fiction,biography,politics
Anthony Quinton,Political Philosophy,non-fiction,philosophy,political philosophy
António Lobo Antunes,Midnight Is Not in Everyone’s Reach,fiction,,
Antonio Scurati,M: Son of the Century,fiction,,
Arthur Herman,Freedom’s Forge,non-fiction,history,american
Arthur Herman,To Rule the Waves: How the British Navy Shaped the Modern World,non-fiction,international,maritime
Arthur Koestler,Darkness at Noon,fiction,,
Arthur R. Kroeber,China's Economy: What Everyone Needs to Know,non-fiction,international,china
Arundhati Roy,The God of Small Things,fiction,,
Asher Orkaby,Yemen: What Everyone Needs to Know,non-fiction,international,middle east
Aswath Damodaran,Investment Valuation: Tools and Techniques for Determining the Value of Any Asset,non-fiction,finance,investing
Audrey Magee,The Colony,fiction,,
Avni Doshi,Burnt Sugar,fiction,,
Ayn Rand,Atlas Shrugged,fiction,,
"Bailey Richardson, Kevin Huynh, Kai Elmer Sotto",Get Together,non-fiction,business,
Balzac,Pere Goriot,fiction,,
Barry J. Naughton,The Chinese Economy: Transitions And Growth,non-fiction,economics,
Belén Fernández,Exile: Rejecting America and Finding the World,non-fiction,essays,
Bence Nanay,Aesthetics: A Very Short Introduction,non-fiction,philosophy,
Benedict Anderson,Imagined Communities: Reflections on the Origin and Spread of Nationalism,non-fiction,sociology,
Benjamin Graham,The Intelligent Investor,non-fiction,finance,investing
Benjamin Labatut,The Maniac,fiction,,
Benjamin Labatut,When We Cease to Understand the World,fiction,,
Benjamin Myers,Beastings,fiction,,
Benjamin Myers,Cuddy,fiction,,
Benjamin Todd,"80,000 Hours: Find a fulfilling career that does good",non-fiction,other,
Bernardine Evaristo,"Girl, Woman, Other",fiction,,
Bill Hayton,The Invention of China,non-fiction,international,china
Bill Kovach,The Elements of Journalism,non-fiction,creativity,writing
Blaug,The Methodology Of Economics,non-fiction,economics,theory
Brad Feld; Jason Mendelson,Venture Deals,non-fiction,finance,venture
Bram Stoker,Dracula,fiction,,
Brandon Taylor,Filthy Animals,fiction,,
Brandon Taylor,Real Life,fiction,,
